question,answer,category
"What are the library hours?","The library is open Monday-Friday 8:00 AM to 10:00 PM, Saturday 10:00 AM to 6:00 PM, and Sunday 12:00 PM to 8:00 PM. Hours may vary during holidays and breaks - check our website for updated hours.",hours
"When does the library close?","Regular closing times are 10:00 PM Monday-Friday, 6:00 PM Saturday, and 8:00 PM Sunday. During finals week we extend hours to midnight.",hours
"Are you open on weekends?","Yes! We're open Saturdays 10:00 AM - 6:00 PM and Sundays 12:00 PM - 8:00 PM.",hours
"What are your holiday hours?","The library follows the university calendar for holidays. We're typically closed on major holidays (Thanksgiving, Christmas, New Year's) and have reduced hours during winter and spring breaks. Check our homepage for specific dates.",hours
"Do you have 24-hour study spaces?","Our main reading room is not 24-hour, but we do have a designated 24-hour study lounge on the second floor that's accessible with your student ID card.",hours
"How do I reserve a study room?","Study rooms can be reserved through our online booking system at libcal.yourlibrary.edu. Rooms are available for 2-hour blocks and require your student ID to book. Walk-ins are welcome if rooms are available.",facilities
"Can I book a group study room?","Yes! Group study rooms (capacity 4-8 people) can be booked online up to 7 days in advance. You'll need to sign in with your library account.",facilities
"Do you have private study spaces?","We have individual study carrels on the third floor available on a first-come, first-served basis. For longer-term carrel assignments, visit the circulation desk.",facilities
"Is there a quiet study area?","Yes, the entire third floor is designated as a silent study zone. The second floor allows quiet conversation, and the first floor is a collaborative space.",facilities
"Can I eat in the library?","Light snacks and drinks with secure lids are permitted on all floors except the Archives (4th floor). No hot food or open containers please.",facilities
"How do I access databases from home?","You can access all library databases from off-campus by logging in with your university credentials. When you click on a database link, you'll be prompted to enter your username and password if you're not on campus WiFi.",database
"Why can't I access JSTOR from home?","If you're having trouble accessing JSTOR or other databases off-campus, make sure you're using the library's link (not Google) and that you're entering your full university login credentials. Clear your browser cache if issues persist, or contact the help desk.",database
"Do I need a VPN to use library resources?","No VPN is needed! Our databases use proxy authentication. Just access them through the library website and log in with your university credentials when prompted.",database
"How do I find peer-reviewed articles?","Use our article databases like JSTOR, Academic Search Complete, or ProQuest. Most databases have a filter or checkbox to limit results to peer-reviewed or scholarly sources. You can also ask a librarian for help choosing the best database for your topic.",database
"What's the difference between a database and Google Scholar?","Library databases provide access to subscription content that's not freely available on Google. They also offer better filtering, citation tools, and guaranteed access to full-text articles. Google Scholar can be useful for discovery, but databases provide more reliable access.",database
"How many books can I check out?","Undergraduate students can check out up to 20 books at a time. Graduate students can check out up to 50. Faculty limits vary by department.",policies
"How long can I keep a book?","Most books have a 3-week loan period with one renewal (if no one else has requested it). Reserve materials have shorter loan periods (2 hours to 3 days depending on the item).",policies
"Can I renew my books?","Yes! You can renew most items online through your library account or by calling the circulation desk. Books can be renewed once unless another patron has placed a hold.",policies
"What happens if I return a book late?","Overdue fines are $0.25 per day per item, up to a maximum of $10 per item. Items more than 30 days overdue are considered lost and you'll be charged the replacement cost plus a $10 processing fee.",policies
"Can I renew if it's late?","Yes, you can still renew an overdue book if no one else has requested it. However, you'll still owe fines for the days it was overdue.",policies
"Do you have textbooks?","We have a limited collection of textbooks on Course Reserve. These are for in-library use only (2-hour checkout) or overnight checkout depending on instructor preference. Check the Reserve section or ask at the circulation desk.",collections
"How do I request a book from another library?","Use our Interlibrary Loan (ILL) service! Log in to your ILL account, enter the book information, and we'll request it from another library. Most items arrive within 5-10 business days and you'll get an email when it's ready for pickup.",services
"Can I get articles from other universities?","Yes, through Interlibrary Loan. If we don't have access to an article you need, submit an ILL request and we'll get you a PDF usually within 2-3 business days, often faster.",services
"Is there a scanner I can use?","Yes! We have flatbed scanners and large-format scanners available on all floors. There's also a scan-to-email feature on our photocopiers. All scanning is free.",technology
"Do you have laptops I can borrow?","Yes, laptops are available for in-library checkout (4-hour loan periods). Check them out at the circulation desk with your student ID. We have both Windows and Mac laptops available.",technology
"Is the WiFi free?","Yes, the library has free WiFi throughout the building. Connect to 'University-WiFi' and log in with your university credentials. Guests can use 'Guest-WiFi' for 24-hour access.",technology
